Interested_Area,programming,Web,Mobile,Software,Linux,UML,UI,Network,Security,Cloud,BigData,ML,Mathematics,Statistics,Support,Topup_Course,choice
Multimedia,7,9,5,7,7,9,4,5,9,5,5,10,7,6,10,Data,ML Engineer
Programming,8,7,4,6,8,8,4,10,6,7,3,6,4,8,7,CyberSecurity,Security Administrator
Computational Theory,5,5,9,4,6,6,9,8,8,9,8,5,6,9,6,CSE,Computer Hardware Engineer
Computational Theory,7,5,9,7,3,9,4,6,3,6,8,4,4,3,4,CyberSecurity,Network Engineer
Business,6,6,9,6,9,6,7,10,9,5,8,3,6,4,10,CSN,Database Administrator
Analytics,8,8,8,4,6,8,7,9,4,4,6,4,4,8,6,CSN,Endpoint Engineer
Programming,6,3,8,7,7,4,9,7,10,4,3,6,6,6,7,IM,Game Concept designer
Computational Theory,3,9,3,3,6,9,5,5,3,10,5,5,3,5,7,CSE,Aeronautics Engineer
Multimedia,6,9,3,6,4,3,9,9,8,10,7,5,6,10,8,CS,ML Engineer
Cyber,5,7,9,8,5,3,7,4,9,9,8,9,5,3,9,CSE,Computer Hardware Engineer
Cyber,3,6,7,6,8,7,9,9,7,9,5,7,6,7,10,IM,UI Engineer
Multimedia,8,6,4,4,7,8,3,7,8,6,6,6,6,6,8,CyberSecurity,Firewall Administrator
Multimedia,9,8,3,3,3,5,8,3,6,7,3,5,9,8,10,CS,Web Designer
Computational Theory,3,5,4,6,9,5,8,10,10,10,3,6,3,8,3,ISE,Database Administrator
Analytics,4,5,3,7,3,3,5,3,4,4,6,8,9,7,10,IM,3D Visualizer
Systems,5,8,4,7,6,4,8,10,9,6,9,5,10,5,3,CSE,Computer System Design Engineer
IT,7,6,4,8,8,5,9,10,10,3,3,6,5,8,10,SE,Software Architect
Cyber,6,5,6,5,4,5,9,5,6,10,9,6,3,3,10,Data,AI Engineer 
Multimedia,3,5,6,3,3,4,9,9,8,4,5,9,6,10,4,CSN,Database Administrator
Computational Theory,6,3,4,3,8,6,7,7,10,5,9,3,3,5,5,Data,Business Analyst
